ID        SITE NAME                       ST     LAT         LON       ELV(ft)

0Z0       Deering                         AK  66.070556  -162.758333      14
10AK      Nuiqsut                         AK  70.213611  -150.988333      58
5WW       Wainwright                      AK  70.638611  -160.006667      34
9Z1       Klawock                         AK  55.576111  -133.076111      60
A21       Portage Glacier                 AK  60.784167  -148.846111     103
A8L       St. George Island               AK  56.576944  -169.663056     114
EAA       Eagle                           AK  64.776389  -141.160556     902
HNS       Haines                          AK  59.243889  -135.509444      19
KAL       Kaltag                          AK  64.324167  -158.733056     171
KVL       Kivalina                        AK  67.731111  -164.542500      14
KYK       Karluk                          AK  57.566667  -154.450000       0
SGY       Skagway                         AK  59.455278  -136.323056      24
SOV       Seldovia                        AK  59.446667  -151.704444      34
SWD       Seward                          AK  60.126944  -149.418611      13
21A       Alabaster                       AL  33.178333   -86.781667     570
39J       Evergreen                       AL  31.418889   -87.048056     256
BFM       Mobile                          AL  30.613889   -88.063333      66
DCU       Decatur                         AL  34.658056   -86.943333     580
TOI       Troy                            AL  31.857500   -86.010833     388
BPK       Mountain Home                   AR  36.370556   -92.471944     913
F90       De Queen                        AR  34.045000   -94.401389     349
HKA       Blytheville                     AR  35.938889   -89.832500     257
M06       Russellville                    AR  35.257778   -93.094722     380
M76       Monticello                      AR  33.636111   -91.755556     275
0V7       Kayenta                         AZ  36.713889  -110.228333    5693
OLS       Nogales                         AZ  31.420833  -110.845833    3908
SJN       St. Johns                       AZ  34.518333  -109.379167    5726
AVX       Avalon                          CA  33.404444  -118.413056    1584
L32       Oceanside                       CA  33.219722  -117.348611      26
MAE       Madera                          CA  36.986667  -120.110833     255
O18       Hanford                         CA  36.317500  -119.629444     244
O45       Vacaville                       CA  38.377778  -121.957500     111
OVE       Oroville                        CA  39.494722  -121.620278     193
WVI       Watsonville                     CA  36.939444  -121.788889     144
2V3       Meeker                          CO  40.042222  -107.889722    6331
5C0       Burlington                      CO  39.242222  -102.282778    4196
CAG       Craig                           CO  40.493333  -107.523611    6190
CEZ                                       CO  37.306389  -108.625556    5897
DRO       Durango                         CO  37.143056  -107.759722    6675
LAA       Lamar                           CO  38.072500  -102.733333    3703
MTJ       Montrose                        CO  38.505000  -107.897500    5742
RIL                                       CO  39.525000  -107.727222    5509
IJD       Willimantic                     CT  41.741944   -72.183611     248
MMK       Meriden                         CT  41.509722   -72.828333      95
GED       Georgetown                      DE  38.690000   -75.362500      64
81J       Destin                          FL  30.393333   -86.467500      19
BKV       Brooksville                     FL  28.473611   -82.487778      77
GIF       Winter Haven                    FL  28.060556   -81.757500     144
LEE       Leesburg                        FL  28.820833   -81.809722      78
MAI       Marianna                        FL  30.836667   -85.183611     107
MTH       Marathon                        FL  24.725833   -81.047778       8
PGD       Punta Gorda                     FL  26.917778   -81.993611      26
X41       New Port Richey                 FL  28.189167   -82.625833      40
DNL       Augusta                         GA  33.466944   -82.038611     427
FFC       Atlanta                         GA  33.355278   -84.566944     815
GVL       Gainesville                     GA  34.271944   -83.830278    1267
VPC       Cartersville                    GA  34.128333   -84.847222     731
KOA       Kailua/Kona                     HI  19.740833  -156.050556      91
AMW       Ames                            IA  41.990556   -93.618889     918
DVN       Davenport                       IA  41.613889   -90.591389     749
EST       Estherville                     IA  43.401111   -94.747222    1317
IOW       Iowa City                       IA  41.632778   -91.543056     651
MIW       Marshalltown                    IA  42.110556   -92.916111     973
SPW       Spencer                         IA  43.168333   -95.210000    1324
MLP       Mullan Pass                     ID  47.454167  -115.669722    6028
U11       Rexburg                         ID  43.831667  -111.806111    4855
U73       Jerome                          ID  42.727500  -114.453056    4010
LWV       Lawrenceville                   IL  38.760556   -87.598889     431
MTO       Mattoon/Charleston              IL  39.474444   -88.272778     703
3SM       Shelbyville                     IN  39.585556   -85.800000     805
GSH       Goshen                          IN  41.526111   -85.786667     828
I14       Indianapolis                    IN  39.825000   -86.295833     814
3KM       Wichita                         KS  37.749722   -97.218889    1425
CFV       Coffeyville                     KS  37.091111   -95.566389     740
IXD       Olathe                          KS  38.824444   -94.886944    1125
LWC       Lawrence                        KS  39.008333   -95.211667     831
PPF       Parsons                         KS  37.327778   -95.504167     899
WLD       Winfield/Arkansas City          KS  37.168056   -97.036944    1150
FFT       Frankfort                       KY  38.184722   -84.903333     776
6R0       Slidell                         LA  30.343056   -89.821944      27
ARA       New Iberia                      LA  30.028889   -91.884444      61
2B6       North Adams                     MA  42.697222   -73.170278     660
CQX       Chatham                         MA  41.687500   -69.993333      63
FIT       Fitchburg                       MA  42.551944   -71.755833     340
ORE       Orange                          MA  42.571667   -72.277500     539
PSF       Pittsfield                      MA  42.427222   -73.290556    1167
PYM       Plymouth                        MA  41.908611   -70.728056     143
TAN       Taunton                         MA  41.875556   -71.021111      25
N80       Ocean City                      MD  38.308333   -75.123889      12
9B9       Wiscasset                       ME  43.963611   -69.711667      68
B20       Fryeburg                        ME  43.989167   -70.950278     445
FVE       Frenchville                     ME  47.285000   -68.307222    1000
MLT       Millinocket                     ME  45.647778   -68.691944     406
ADG       Adrian                          MI  41.867778   -84.079444     793
BEH       Benton Harbor                   MI  42.129167   -86.422222     657
C19       Holland                         MI  42.746111   -86.096667     685
GLR       Gaylord                         MI  45.016389   -84.688889    1345
IMT       Iron Mountain/Kingsford         MI  45.814167   -88.108889    1147
BDE       Baudette                        MN  48.726667   -94.612222    1082
BRD       Brainerd                        MN  46.404722   -94.130833    1223
HIB       Hibbing                         MN  47.380556   -92.832222    1353
PKD       Park Rapids                     MN  46.900556   -95.067778    1451
DMO       Sedalia                         MO  38.712222   -93.174444     900
GVW       Richards-Gebaur Airport         MO  38.835000   -94.561389    1106
JEF       Jefferson City                  MO  38.594444   -92.155833     553
UNO       West Plains                     MO  36.879167   -91.905000    1223
GWO       Greenwood                       MS  33.492500   -90.083611     147
HBG       Hattiesburg                     MS  31.269444   -89.256111     145
L81       Vicksburg                       MS  32.351667   -91.027500      86
M50       Pascagoula                      MS  30.463611   -88.531944      20
3U6       Baker                           MT  46.347778  -104.257500    2961
DLN       Dillon                          MT  45.257500  -112.554444    5219
OLF       Wolf Point                      MT  48.094444  -105.577222    1984
0A6       Gastonia                        NC  35.196667   -81.155833     799
BUY       Burlington                      NC  36.047778   -79.473889     592
EQY       Monroe                          NC  35.016944   -80.620556     684
LBT       Lumberton                       NC  34.607222   -79.060000     124
MEB       Maxton                          NC  34.791389   -79.368056     220
MRH       Beaufort                        NC  34.732500   -76.656944      11
RZZ       Roanoke Rapids                  NC  36.439444   -77.709722     249
W52       Chapel Hill                     NC  35.933333   -79.064167     509
HEI       Hettinger                       ND  46.010556  -102.649722    2716
AIA       Alliance                        NE  42.057222  -102.800000    3926
HSI       Hastings                        NE  40.600556   -98.425833    1941
MCK       McCook                          NE  40.203056  -100.588333    2567
